0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
CH;RX Freq;TX Freq;CH Mode;RX/TX Limit;TX Power;TOT;Scan Add;CH Alias;ID Type;CH ID;Dual Slot;Time Slot;Color Code;Promiscuous;TX Politely;TX Contacts;RX TG List;DMR Encryption;RX CTC DCS;TX CTC DCS;CTC DCS Type;Mute Code;Busy Lock;Demodulation;Tail Tone;Scrambler;Bandwidth;Offset
1;439.62500;434.62500;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724266;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
2;439.97500;-4560.02500;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724022;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5000.00000
3;439.25000;434.25000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724276;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
4;145.31000;144.71000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724190;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
5;439.55000;434.55000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724303;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
6;439.10000;873.20000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724021;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;434.10000
7;146.61000;146.01000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724027;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
8;146.77000;146.17000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724301;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
9;145.35000;144.75000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724302;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
10;147.12000;146.52000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724037;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-0.60000
11;439.50000;434.50000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724052;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
12;439.90000;434.90000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724061;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000
13;439.45000;434.45000;Digital;RX+TX;High;60;Add;D, RS/RS;Channel ID;724246;On;1;1;Off;Allow TX;All Call;None;None;None;None;Normal;0;Allow TX;FM;Off;Off;Wide;-5.00000