"CH","RX Freq","TX Freq","CH Mode","RX/TX Limit","TX Power","TOT","Scan Add","CH Alias","ID Type","CH ID","Dual Slot","Time Slot","Color Code","Promiscuous","TX Politely","TX Contacts","RX TG List","DMR Encryption","RX CTC DCS","TX CTC DCS","CTC DCS Type","Mute Code","Busy Lock","Demodulation","Tail Tone","Scrambler","Bandwidth","Offset"
1,439.50000,434.50000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724304,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
2,439.40000,434.40000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724126,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
3,439.20000,144.61000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724164,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-294.59000
4,439.70000,434.70000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724265,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
5,439.62500,-4560.37500,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724036,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5000.00000
6,147.09000,147.69000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724057,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
7,439.10000,434.10000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724305,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
8,439.40000,434.40000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724006,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
9,147.18000,147.78000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724154,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
10,439.50000,434.50000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724128,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
11,439.65000,434.65000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724127,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
12,146.69000,-453.31000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724031,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-600.00000
13,439.20000,-4560.80000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724056,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5000.00000
14,439.10000,434.10000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724091,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
15,145.35000,144.75000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724247,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
16,439.45000,434.45000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724183,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
17,147.19000,147.79000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724082,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
18,145.21000,145.21000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724053,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.00000
19,439.77500,-4560.22500,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724045,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5000.00000
20,146.79000,146.19000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724058,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
21,147.27000,147.87000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724137,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
22,439.80000,434.80000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724028,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
23,439.25000,434.25000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724029,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
24,439.20000,434.20000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724185,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000
25,146.77000,146.17000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724087,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-0.60000
26,146.87000,147.47000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724176,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",0.60000
27,439.70000,434.70000,"Digital","RX+TX","High",60,"Add","D, SC/SC","Channel ID",724040,"On",1,1,"Off","Allow TX","All Call","None","None","None","None","Normal",0,"Allow TX","FM","Off","Off","Wide",-5.00000